Package Name,Latest Review Date,Latest Release Date,One Release Before,Link to Release
a2dp.Vol21,2013-08-02,n/a,n/a,https://github.com/jroal/a2dpvolume/
aarddict.android,2016-07-13,2014-02-17,2014-02-11,https://github.com/aarddict/android/releases
acr.browser.barebones,2017-05-21,2016-11-05,2016-10-30,https://github.com/anthonycr/Lightning-Browser/tags
am.zoom.mbrowser,2017-03-05,n/a,n/a,n/a
am.zoom.mlauncher,2015-09-19,n/a,n/a,n/a
app.easytoken,2017-05-18,2014-12-21,2014-07-26,https://github.com/cernekee/EasyToken/releases
app.openconnect,2017-05-20,2016-12-13,2016-07-11,https://github.com/openconnect/openconnect/releases
at.bitfire.cadroid,2017-04-08,n/a,n/a,n/a
at.linuxtage.companion,2017-04-30,2017-04-02,2015-12-15,https://github.com/linuxtage/glt-companion/releases
at.tomtasche.reader,2017-05-22,2013-10-16,2013-10-05,https://github.com/TomTasche/OpenDocument.droid/releases
at.zweng.bankomatinfos2,2017-02-15,n/a,n/a,n/a
au.com.darkside.XServer,2017-05-19,2014-08-16,-,https://github.com/mattkwan-zz/android-xserver/tree/master/XServer
au.com.wallaceit.reddinator,2017-05-22,2017-01-21,2017-01-05,https://github.com/micwallace/reddinator/releases
aws.apps.usbDeviceEnumerator,2017-05-13,2017-05-04,2016-09-04,https://github.com/alt236/USB-Device-Info---Android/releases
axp.tool.apkextractor,2016-12-18,n/a,n/a,n/a
be.brunoparmentier.apkshare,n/a,2015-06-14,n/a,https://github.com/bparmentier/APKShare/releases
be.brunoparmentier.openbikesharing.app,2017-05-14,2017-05-08,2016-02-24,https://github.com/bparmentier/OpenBikeSharing/releases
be.brunoparmentier.wifikeyshare,2017-04-29,2016-03-01,2016-02-15,https://github.com/bparmentier/WiFiKeyShare/releases
be.digitalia.fosdem,2017-02-06,2017-01-31,2017-01-23,https://github.com/cbeyls/fosdem-companion-android/releases?after=1.5.1
be.norio.randomapp,2014-10-20,n/a,n/a,https://github.com/litrik/be.norio.randomapp/releases
be.ppareit.shutdown,2017-04-18,2014-07-06,2013-12-27,https://github.com/ppareit/Shutdown/releases
be.ppareit.swiftp_free,2017-04-19,2017-03-12,2017-03-01,https://github.com/ppareit/swiftp/releases
be.uhasselt.privacypolice,2017-04-21,n/a,n/a,https://github.com/BramBonne/privacypolice/releases
biz.codefuture.svgviewer,2017-04-19,2015-05-08,2014-04-17,https://github.com/cw/svg-viewer-android/releases
br.odb.knights,2015-10-31,n/a,n/a,https://github.com/TheFakeMontyOnTheRun/knightsofalentejo/releases
br.usp.ime.retrobreaker,2015-02-24,2014-06-07,2014-05-26,https://github.com/thiagokokada/retrobreaker/releases
btools.routingapp,2017-04-10,n/a,n/a,https://github.com/abrensch/brouter/releases
budo.budoist,2016-04-12,2012-11-24,2012-11-10,https://github.com/budowski/budoist/releases
buet.rafi.dictionary,2017-05-21,n/a,n/a,https://github.com/rafi-kamal/Bangla-Dictionary/releases
byrne.utilities.converter,2014-02-12,n/a,n/a,https://github.com/dillbyrne/Bodha-Converter/releases
byrne.utilities.hashpass,2017-05-01,2014-07-25,2014-03-05,https://github.com/dillbyrne/HashPass/releases
byrne.utilities.pasteedroid,2016-11-25,2014-07-19,n/a,https://github.com/dillbyrne/PasteeDroid/releases
ca.farrelltonsolar.classic,2017-03-10,n/a,n/a,https://github.com/gjedeer/fdroid-repo/releases
ca.mimic.apphangar,2017-05-20,2016-12-27,2015-02-16,https://github.com/corcoran/Hangar/releases
ca.rmen.android.frenchcalendar,2017-05-15,2017-06-01,2016-09-14,https://github.com/caarmen/french-revolutionary-calendar/releases
ca.rmen.android.networkmonitor,2017-05-15,2016-04-03,2017-02-18,https://github.com/caarmen/network-monitor/releases
ca.rmen.android.poetassistant,2017-05-21,2017-04-23,2017-12-03,https://github.com/caarmen/poet-assistant/releases
ca.rmen.android.scrumchatter,2016-11-09,2016-11-05,2016-04-10,https://github.com/caarmen/scrumchatter/releases
ca.rmen.nounours,2016-07-17,2016-04-27,2016-09-01,https://github.com/caarmen/nounours-android/releases
ch.blinkenlights.android.vanilla,2017-05-23,2017-02-21,2017-02-11,https://github.com/vanilla-music/vanilla/releases
ch.blinkenlights.android.vanillaplug,2017-04-30,n/a,n/a,n/a
ch.blinkenlights.battery,2017-04-05,n/a,n/a,n/a
ch.fixme.cowsay,2016-06-24,n/a,n/a,n/a
ch.fixme.status,2015-10-28,2016-05-06,2016-04-14,https://github.com/fixme-lausanne/MyHackerspace/releases
ch.hgdev.toposuite,2017-02-24,2016-05-19,2015-05-12,https://github.com/hgdev-ch/toposuite-android/releases
ch.logixisland.anuto,2017-03-17,2017-02-01,2016-04-07,https://github.com/reloZid/android-anuto/releases
ch.rmy.android.statusbar_tacho,2017-05-06,2015-08-06,n/a,https://github.com/Waboodoo/Status-Bar-Tachometer/releases
com.flashsphere.rainwaveplayer,2017-03-15,2015-12-13,2014-07-21,https://github.com/OEP/rainwave-android/releases
com.laidbackware.sharetobrowser,2013-08-06,n/a,n/a,n/a
com.mdb.android.apnswitch,2017-04-03,n/a,n/a,n/a